City1,Country1,City2,Country2,1070
City1,Country1,City3,Country3,272
City1,Country1,City4,Country4,725
City1,Country1,City5,Country5,1978
City1,Country1,City6,Country6,1415
City1,Country1,City7,Country7,792
City1,Country1,City8,Country8,1954
City1,Country1,City9,Country9,1627
City1,Country1,City10,Country10,2118
City1,Country1,City11,Country11,805
City1,Country1,City12,Country12,1831
City1,Country1,City13,Country13,1332
City1,Country1,City14,Country14,1344
City1,Country1,City15,Country15,600
City1,Country1,City16,Country16,2165
City1,Country1,City17,Country17,836
City1,Country1,City18,Country18,532
City1,Country1,City19,Country19,1761
City1,Country1,City20,Country20,2186
City1,Country1,City21,Country21,2746
City1,Country1,City22,Country22,2342
City1,Country1,City23,Country23,2814
City1,Country1,City24,Country24,455
City1,Country1,City25,Country25,2191
City1,Country1,City26,Country26,1484
City1,Country1,City27,Country27,683
City1,Country1,City28,Country28,1513
City1,Country1,City29,Country29,1173
City1,Country1,City30,Country30,1525
City1,Country1,City31,Country31,1316
City1,Country1,City32,Country32,2463
City1,Country1,City33,Country33,1438
City1,Country1,City34,Country34,373
City1,Country1,City35,Country35,1565
City1,Country1,City36,Country36,2079
City1,Country1,City37,Country37,1795
City1,Country1,City38,Country38,541
City1,Country1,City39,Country39,695
City1,Country1,City40,Country40,2782
City1,Country1,City41,Country41,1115
City1,Country1,City42,Country42,488
City1,Country1,City43,Country43,2969
City1,Country1,City44,Country44,1701
City1,Country1,City45,Country45,162
City1,Country1,City46,Country46,1090
City1,Country1,City47,Country47,1111
City1,Country1,City48,Country48,2311
City1,Country1,City49,Country49,1368
City1,Country1,City50,Country50,2476
City1,Country1,City51,Country51,1161
City1,Country1,City52,Country52,2336
City1,Country1,City53,Country53,919
City1,Country1,City54,Country54,2721
City1,Country1,City55,Country55,914
City1,Country1,City56,Country56,2317
City1,Country1,City57,Country57,586
City1,Country1,City58,Country58,2532
City1,Country1,City59,Country59,1452
City1,Country1,City60,Country60,2470
City1,Country1,City61,Country61,2228
City1,Country1,City62,Country62,553
City1,Country1,City63,Country63,417
City1,Country1,City64,Country64,801
City1,Country1,City65,Country65,2207
City1,Country1,City66,Country66,2736
City1,Country1,City67,Country67,1492
City1,Country1,City68,Country68,165
City1,Country1,City69,Country69,2376
City1,Country1,City70,Country70,1177
City1,Country1,City71,Country71,165
City1,Country1,City72,Country72,2221
City1,Country1,City73,Country73,2310
City1,Country1,City74,Country74,2975
City1,Country1,City75,Country75,1328
City1,Country1,City76,Country76,1890
City1,Country1,City77,Country77,495
City1,Country1,City78,Country78,1060
City1,Country1,City79,Country79,2682
City1,Country1,City80,Country80,2260
City1,Country1,City81,Country81,1809
City1,Country1,City82,Country82,1366
City1,Country1,City83,Country83,1449
City1,Country1,City84,Country84,1464
City1,Country1,City85,Country85,2245
City1,Country1,City86,Country86,362
City1,Country1,City87,Country87,1118
City1,Country1,City88,Country88,2104
City1,Country1,City89,Country89,1237
City1,Country1,City90,Country90,2394
City1,Country1,City91,Country91,780
